Submitted at,Country you live and work in,City,Gender,Your age,Your job title,UI/UX Designer,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Years of relevant experience_grouped,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Exclude,More than 1 row_jobtitle,Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
23/10/2024 9:42,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,Multidisciplinary Designer,Full-time employee,Mid-level IC,Product / UX design,2,3,Up to 3 years,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"5,500,000",,,"160,000","66,160,000","5,557",,Y,"Transport subsidies, Paid time off / vacation time, Paid medical leave, Internet / mobile phone subsidies",Agency / Consulting,"Technology, media & telecommunications",Nov-50,2-Oct,Not applicable,Fully remote,
23/10/2024 9:44,Indonesia,Jakarta,Male,25 - 30,Digital Campaigner,Product designer,Self-employed (Freelancers; own company),Mid-level IC,Marketing / graphic design,2,3,Up to 3 years,Post-graduate diploma,No,,,,,,,No,IDR,Monthly,,"6,000,000",,,"300,000","72,300,000","6,073",,Y,"Transport subsidies, Professional development, training, or learning fund, Internet / mobile phone subsidies, Health insurance, Allowance for flexible working arrangement (remote/co-working space), Onsite food / snacks",Non-profit,Campaigning and advocating that focusing on energy transition,Nov-50,2-Oct,No,2 days on-site,
23/10/2024 9:48,Indonesia,purbalingga,Male,18 - 24,product designer lead,Multidisciplinary Designer,Full-time employee,Lead / Staff / Principal IC,Visual / UI design,3,2,3 to 5 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"3,700,000",0,0,0,"44,400,000","3,730",,Y,Health insurance,Start-up,"Technology, media & telecommunications",51 - 200,2-Oct,No,Fully on-site,komerce
23/10/2024 9:49,Indonesia,Jakarta,Male,18 - 24,architect,Product designer,Full-time employee,Junior IC (Entry level),Architect / spatial design,1,1,Up to 3 years,Master's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,500,000",,,,"66,000,000","5,544",,Y,"Transport subsidies, Onsite food / snacks, Internet / mobile phone subsidies, Meal subsidies",Agency / Consulting,architecture consultant,1-Oct,2-Oct,Yes,4 days on-site,
23/10/2024 9:49,Indonesia,Jakarta,Female,25 - 30,Product Designer,Product designer,Full-time employee,Mid-level IC,Product / UX design,3,3,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"8,044,800",,,,"96,537,600","8,109",,Y,Health insurance,Start-up,Health care,Nov-50,2-Oct,Yes,3 days on-site,FitAja
23/10/2024 9:52,Indonesia,Jakarta,Male,25 - 30,Sr. Product Designer,Multidisciplinary Designer,Full-time employee,Senior IC,Product / UX design,5,5,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"15,500,000",,,,"186,000,000","15,624",,Y,"Onsite food / snacks, Paid medical leave, Paid time off / vacation time, Health insurance",Start-up,"Retail, wholesale & distribution",201 - 1000,2-Oct,Yes,3 days on-site,
23/10/2024 9:52,Indonesia,Tanah Bumbu,Male,25 - 30,"WordPress Designer, Elementor Designer, WordPress Admin",Product designer,Full-time employee,Mid-level IC,Visual / UI design,3,2,3 to 5 years,High school / secondary school,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"4,500,000",,,,"54,000,000","4,536",,Y,Flexible schedule,Small-medium enterprise,"Retail, wholesale & distribution",Nov-50,2-Oct,No,Fully remote,CR Group Singapore
23/10/2024 9:55,Indonesia,Jakarta,Female,18 - 24,Product Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Industrial design,4,4,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,500,000",,,,"78,000,000","6,552",,Y,Paid time off / vacation time,Small-medium enterprise,Industrial products & construction,1-Oct,2-Oct,Yes,Fully on-site,
23/10/2024 9:55,Indonesia,Batam,Male,18 - 24,UI/UX Designer,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,3,4,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"13,000,000","13,000,000",,,"169,000,000","14,196",,Y,,Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",Team of 1,Yes,Fully on-site,PT Satnusa Persada
23/10/2024 9:55,Indonesia,Jakarta,Male,25 - 30,UI UX Designer,Developer,Full-time employee,Mid-level IC,Product / UX design,2,3,Up to 3 years,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"10,000,000",,,,"120,000,000","10,080",,Y,"Paid time off / vacation time, Dental insurance",Agency / Consulting,Other,51 - 200,2-Oct,Yes,Fully on-site,
23/10/2024 9:57,Indonesia,Jakarta,Male,18 - 24,UI Engineer,Product designer,Fixed term contractor,Mid-level IC,Front-end / design engineer,2,2,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,000,000",,,,"72,000,000","6,048",,Y,Health insurance,Small-medium enterprise,Consumer products,51 - 200,2-Oct,Yes,4 days on-site,
23/10/2024 9:57,Indonesia,Jakarta,Male,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,6,3,5 to 10 years,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"17,000,000",,,,"204,000,000","17,136",,Y,Health insurance,Start-up,Health care,201 - 1000,2-Oct,Yes,Fully on-site,FIT HUB Indonesia
23/10/2024 9:58,Indonesia,Bandung,Male,25 - 30,UI/UX Designer,UI/UX Designer,Full-time employee,Senior IC,Visual / UI design,4,5,3 to 5 years,Diploma,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"5,240,000","500,000",,,"63,380,000","5,324",,Y,Transport subsidies,Software House,"Technology, media & telecommunications",Nov-50,Team of 1,Not applicable,Fully on-site,PT Arkamaya
23/10/2024 10:00,Indonesia,Jakarta,Female,18 - 24,UI UX Designer,Graphic Designer,Intern/Apprentice,Mid-level IC,Product / UX design,3,3,3 to 5 years,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"3,000,000",,,,"36,000,000","3,024",,Y,,Start-up,"Retail, wholesale & distribution",Nov-50,2-Oct,Yes,Fully on-site,
23/10/2024 10:05,Indonesia,Jakarta,Male,18 - 24,Social Media Graphic Designer,UI/UX Designer,Fixed term contractor,Junior IC (Entry level),Marketing / graphic design,6,3,5 to 10 years,High school / secondary school,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"5,500,000",,,"5,500,000","71,500,000","6,006",,Y,"Paid time off / vacation time, Flexible schedule, Paid medical leave",Small-medium enterprise,Industrial products & construction,201 - 1000,2-Oct,Yes,Fully on-site,
23/10/2024 10:05,Indonesia,Jakarta,Male,25 - 30,UI UX Designer,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,2,4,Up to 3 years,Diploma,No,,,,,,,No,IDR,Monthly,,"7,000,000",,,,"84,000,000","7,056",,Y,"Paid medical leave, Budget for equipment or home office setup, Internet / mobile phone subsidies, Meal subsidies, Health insurance, Paid time off / vacation time",Start-up,Education,51 - 200,2-Oct,Yes,Fully on-site,Vokraf
23/10/2024 10:06,Indonesia,Jakarta,Male,18 - 24,UI/UX Designer,Multidisciplinary Designer,Intern/Apprentice,Junior IC (Entry level),Visual / UI design,1,1,Up to 3 years,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"3,000,000",,,,"36,000,000","3,024",,Y,,Small-medium enterprise,Mining & metals,51 - 200,2-Oct,Yes,2 days on-site,Bukit Technology
23/10/2024 10:09,Indonesia,Surabaya,Male,25 - 30,Animator,UX Designer,Full-time employee,Senior IC,Motion / animation design,5,7,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"5,800,000",,,,"69,600,000","5,846",,Y,,Agency / Consulting,"Technology, media & telecommunications",Nov-50,Nov-50,No,Fully on-site,Crea
23/10/2024 10:09,Indonesia,Surabaya,Male,31 - 35,UI Designer,Product designer,Full-time employee,Senior IC,Visual / UI design,12,15,Atleast 10 years,High school / secondary school,No,,,,,,,No,USD,Monthly,,"5,500","11,000",,,"77,000","103,950",,Y,"Paid medical leave, Professional development, training, or learning fund, Wellness (gym, fitness, etc), Internet / mobile phone subsidies, Health insurance, Dental insurance, Allowance for flexible working arrangement (remote/co-working space), Budget for equipment or home office setup, Paid time off / vacation time",Agency / Consulting,"Technology, media & telecommunications",201 - 1000,Nov-50,No,Fully remote,
23/10/2024 10:11,Indonesia,Jakarta,Male,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,7,12,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"16,200,000",,,"16,200,000","210,600,000","17,690",,Y,"Flexible schedule, Dental insurance, Health insurance",Start-up,Financial services,201 - 1000,2-Oct,No,Fully remote,Fintech Startup
23/10/2024 10:14,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,UX Designer,Full-time employee,Mid-level IC,Visual / UI design,3,3,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"11,700,000",,,,"140,400,000","11,794",,Y,"Health insurance, Allowance for flexible working arrangement (remote/co-working space)",Agency / Consulting,"Technology, media & telecommunications",201 - 1000,2-Oct,Yes,Fully remote,digital center
23/10/2024 10:15,Indonesia,Jakarta,Male,18 - 24,UI Designer,Product designer,Intern/Apprentice,Junior IC (Entry level),Product / UX design,2,2,Up to 3 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"3,000,000","100,000",,,"36,100,000","3,032",,Y,Health insurance,Finance,Banking & capital markets,"10,001 and above",51 - 100,No,Fully on-site,CIMB Niaga
23/10/2024 10:15,Indonesia,Jakarta,Male,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,3,3,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"8,000,000",0,0,0,"96,000,000","8,064",,Y,"Allowance for flexible working arrangement (remote/co-working space), Dental insurance, Health insurance, Onsite food / snacks",Start-up,Consumer products,51 - 200,Nov-50,No,2 days on-site,Pinhome
23/10/2024 10:18,Indonesia,Jakarta,Female,25 - 30,Design Lead,Product designer,Full-time employee,Manager,Product / UX design,7,9,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"35,000,000","35,000,000",,,"455,000,000","38,220",,Y,"Dental insurance, Paid time off / vacation time, Internet / mobile phone subsidies, Transport subsidies",Small-medium enterprise,Banking & capital markets,201 - 1000,2-Oct,Yes,3 days on-site,
23/10/2024 10:20,Indonesia,Banjarbaru,Male,31 - 35,Product Designer,Graphic Designer,Self-employed (Freelancers; own company),Senior IC,Product / UX design,5,5,5 to 10 years,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,Yes,USD,Monthly,,600,,,,"7,200","9,720",,Y,,Start-up,Financial services,1-Oct,Team of 1,No,Fully remote,
23/10/2024 10:21,Indonesia,Jakarta,Female,18 - 24,Graphic Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Marketing / graphic design,2,3,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"7,200,000","6,200,000",,,"92,600,000","7,778",,Y,Meal subsidies,Small-medium enterprise,Beauty,51 - 200,2-Oct,Yes,Fully on-site,
23/10/2024 10:24,Indonesia,Jakarta,Male,25 - 30,UI/UX Designer,Visual Designer,Full-time employee,Senior IC,Visual / UI design,4,4,3 to 5 years,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"10,200,000","10,200,000",,,"132,600,000","11,138",,Y,"Paid time off / vacation time, Health insurance",Government,Banking & capital markets,"10,001 and above",Nov-50,Yes,Fully on-site,PT Bank Mandiri
23/10/2024 10:26,Indonesia,Jakarta,Male,25 - 30,Visual designer,Product designer,Full-time employee,Senior IC,Service Design,4,7,3 to 5 years,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,IDR,Monthly,,"5,500,000",,,,"66,000,000","5,544",,Y,"Health insurance, Dental insurance, Paid medical leave",Start-up,"Technology, media & telecommunications",51 - 200,2-Oct,No,Fully on-site,PT LINI IMAJI KREASI EKOSISTEM
23/10/2024 10:27,Indonesia,Lampung,Male,31 - 35,Product designer,Product designer,Full-time employee,Mid-level IC,Product / UX design,5,8,5 to 10 years,Bachelor's degree,No,,,,,,,Yes,USD,Monthly,,"1,200",100,,,"14,500","19,575",,Y,"Paid time off / vacation time, Flexible schedule, Paid medical leave, Allowance for flexible working arrangement (remote/co-working space)",Small-medium enterprise,Ecommerce Agency,51 - 200,2-Oct,Not applicable,Fully remote,
23/10/2024 10:29,Indonesia,Semarang,Male,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Senior IC,Product / UX design,8,10,5 to 10 years,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,Yes,EUR,Monthly,,"3,200",,,,"38,400","54,528",,Y,"Flexible schedule, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Power & utilities,51 - 200,2-Oct,No,Fully remote,
23/10/2024 10:32,Indonesia,Bogor,Non-binary/Non-conforming,25 - 30,UX Designer,UI/UX Designer,Self-employed (Freelancers; own company),Junior IC (Entry level),Product / UX design,1,1,Up to 3 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"3,500,000",,,,"42,000,000","3,528",,Y,,freelance,"Technology, media & telecommunications",1-Oct,Team of 1,No,Fully remote,-
23/10/2024 10:32,Indonesia,Jakarta,Female,31 - 35,Ux/ui design manager,UI/UX Designer,Full-time employee,Manager,Design leadership and management,7,12,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,Yes,IDR,Monthly,,"21,000,000","63,000,000",,,"315,000,000","26,460",,Y,,Large enterprise (MNC),Insurance,201 - 1000,2-Oct,Yes,Fully on-site,
23/10/2024 10:38,Indonesia,Bogor,Female,31 - 35,UI UX Designer,Product designer,Fixed term contractor,Senior IC,Product / UX design,3,12,3 to 5 years,High school / secondary school,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,No,USD,Monthly,,"1,040",,,,"12,480","16,848",,Y,"Flexible schedule, Allowance for flexible working arrangement (remote/co-working space), Professional development, training, or learning fund, Budget for equipment or home office setup",Start-up,Investment management,Nov-50,Team of 1,No,Fully remote,
23/10/2024 10:41,Indonesia,Jakarta,Female,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Lead / Staff / Principal IC,Product / UX design,4,4,3 to 5 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses, Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"14,000,000",,,"8,400,000","176,400,000","14,818",,Y,"Wellness (gym, fitness, etc), Onsite food / snacks, Health insurance, Dental insurance, Paid time off / vacation time",Start-up,"Retail, wholesale & distribution",51 - 200,2-Oct,Yes,3 days on-site,Sinbad Karya Perdagangan
23/10/2024 10:44,Indonesia,Medan,Male,18 - 24,User Experience Designer,UI/UX Designer,Intern/Apprentice,Junior IC (Entry level),Product / UX design,2,2,Up to 3 years,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"2,400,000",,,,"28,800,000","2,419",,Y,"Onsite food / snacks, Flexible schedule",Academia / Educational institution,Education,201 - 1000,2-Oct,No,Fully on-site,Universitas Sumatera Utara
23/10/2024 10:47,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,UX Researcher,Full-time employee,Mid-level IC,Product / UX design,4,3,3 to 5 years,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,700,000",,,,"80,400,000","6,754",,Y,"Meal subsidies, Paid medical leave, Allowance for flexible working arrangement (remote/co-working space), Health insurance, Onsite food / snacks, Dental insurance",Start-up,Health care,51 - 200,Team of 1,Not applicable,1 day on-site,
23/10/2024 10:48,Indonesia,Bandung,Female,18 - 24,Researcher & Copywriter,UI/UX Designer,Full-time employee,Mid-level IC,Marketing / graphic design,4,5,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"4,200,000",,,,"50,400,000","4,234",,Y,"Onsite food / snacks, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time",Agency / Consulting,Design,1-Oct,2-Oct,Yes,4 days on-site,
23/10/2024 10:48,Indonesia,Jakarta,Male,18 - 24,UI/UX Designer,Graphic Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,1,1,Up to 3 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,500,000","5,500,000",,,"71,500,000","6,006",,Y,,Large enterprise (MNC),"Technology, media & telecommunications",51 - 200,Team of 1,Yes,Fully on-site,
23/10/2024 10:53,Indonesia,Tangerang,Female,18 - 24,Graphic Designer,Product designer,Full-time employee,Mid-level IC,Visual / UI design,7,6,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",TRUE,TRUE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"6,500,000",,,,"78,000,000","6,552",,Y,Health insurance,Large enterprise (MNC),Consumer products,"1001 - 10,000",2-Oct,No,Fully remote,PT KOBE BOGA UTAMA
23/10/2024 10:53,Indonesia,Yogyakarta,Male,25 - 30,Product Designer,UX Researcher,Full-time employee,Mid-level IC,Product / UX design,2,5,Up to 3 years,Bachelor's degree,No,,,,,,,Yes,IDR,Monthly,,"7,200,000","7,200,000",,,"93,600,000","7,862",,Y,"Health insurance, Paid time off / vacation time",Start-up,Hiring Platform,51 - 200,2-Oct,No,Fully remote,Rakamin
23/10/2024 10:59,Indonesia,Jakarta,Female,25 - 30,UX Research Consultant,Product designer,Fixed term contractor,Mid-level IC,Product / UX research,4,5,3 to 5 years,Master's degree,No,,,,,,,Yes,IDR,Monthly,,"22,000,000",,,,"264,000,000","22,176",,Y,"Paid medical leave, Paid time off / vacation time",Agency / Consulting,Depending on the client,1-Oct,Team of 1,Not applicable,Fully remote,
23/10/2024 11:06,Singapore,Singapore,Female,18 - 24,Product designer,Graphic Designer,Full-time employee,Mid-level IC,Product / UX design,5,5,5 to 10 years,Master's degree,No,,,,,,,Yes,SGD,Monthly,,"8,000","8,000",,,"104,000","104,000",,Y,"Dental insurance, Flexible schedule, Meal subsidies, Onsite food / snacks, Professional development, training, or learning fund, Health insurance, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Paid medical leave, Wellness (gym, fitness, etc)",Large enterprise (MNC),Consumer products,"10,001 and above",51 - 100,Yes,Fully remote,Foodpanda
23/10/2024 11:11,Indonesia,Jakarta,Female,18 - 24,Graphic Designer,UI/UX Designer,Fixed term contractor,Junior IC (Entry level),Visual / UI design,4,2,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"4,250,000","4,250,000",,"1,000,000","56,250,000","4,725",,Y,"Onsite food / snacks, Transport subsidies, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Consumer products,51 - 200,2-Oct,Yes,4 days on-site,
23/10/2024 11:12,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,Product designer,Self-employed (Freelancers; own company),Junior IC (Entry level),Visual / UI design,5,5,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"8,000,000",,,,"96,000,000","8,064",,Y,,Small-medium enterprise,Financial services,51 - 200,2-Oct,Yes,Fully remote,finnet
23/10/2024 11:12,Indonesia,Jakarta,Female,31 - 35,Senior product designer,UX Designer,Full-time employee,Senior IC,Product / UX design,12,12,Atleast 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"29,500,000","3,000,000",,"3,500,000","360,500,000","30,282",,Y,,Start-up,Consumer products,51 - 200,2-Oct,No,Fully remote,Segari
23/10/2024 11:18,Indonesia,Purwokerto,Male,18 - 24,UI Designer,Graphic Designer,Full-time employee,Mid-level IC,Product / UX design,3,3,3 to 5 years,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"11,100,000",,,,"133,200,000","11,189",,Y,"Dental insurance, Health insurance",Start-up,Education,"1001 - 10,000",Nov-50,No,Fully remote,
23/10/2024 11:25,Indonesia,Denpasar,Female,18 - 24,Graphic designer,Graphic Designer,Full-time employee,Junior IC (Entry level),Marketing / graphic design,5,3,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",TRUE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032",,Y,Health insurance,Agency / Consulting,"Technology, media & telecommunications",Nov-50,2-Oct,Yes,3 days on-site,
23/10/2024 11:26,Indonesia,Cilegon,Female,25 - 30,Graphic Designer,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,1,2,Up to 3 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"3,950,000",,,,"47,400,000","3,982",,Y,"Meal subsidies, Onsite food / snacks, Health insurance, Internet / mobile phone subsidies",Small-medium enterprise,"Retail, wholesale & distribution",1-Oct,Team of 1,Not applicable,Fully on-site,PT Khayra Berkah Abadi
23/10/2024 11:28,Indonesia,Surabaya,Male,25 - 30,Graphic Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Branding,5,2,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040",,Y,Budget for equipment or home office setup,Small-medium enterprise,Graphic Design,1-Oct,2-Oct,Yes,3 days on-site,
23/10/2024 11:34,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,3,3,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"11,000,000",1,,,"132,000,001","11,088",,Y,"Health insurance, Meal subsidies, Onsite food / snacks",Large enterprise (MNC),Consumer products,"1001 - 10,000",2-Oct,Yes,Fully on-site,
23/10/2024 11:35,Indonesia,Surakarta,Male,25 - 30,Lead UI Designer,UI/UX Designer,Full-time employee,Lead / Staff / Principal IC,Visual / UI design,5,5,5 to 10 years,Bachelor's degree,No,,,,,,,No,GBP,Monthly,,"1,430",,,,"17,160","29,172",,Y,,Agency / Consulting,Design,1-Oct,2-Oct,No,Fully remote,
23/10/2024 11:35,Singapore,Singapore,Male,25 - 30,Ui/ux designer,Product designer,Full-time employee,Mid-level IC,Product / UX design,4,6,3 to 5 years,Bachelor's degree,No,,,,,,,Yes,IDR,Monthly,,"11,000,000","10,000,000",,,"142,000,000","11,928",Y,Y,,Small-medium enterprise,"Technology, media & telecommunications",51 - 200,Team of 1,Not applicable,Fully remote,
23/10/2024 11:43,Indonesia,Jakarta,Male,25 - 30,Sr Product Designer,Graphic Designer,Full-time employee,Senior IC,Product / UX design,5,4,5 to 10 years,Diploma,Yes,"Bootcamps (e.g. General Assembly), In-person certified courses, Self-taught / informal / unstructured courses, Online certification (e.g. Coursera or IDF)",FALSE,TRUE,TRUE,TRUE,TRUE,Yes,IDR,Monthly,,"9,000,000","9,000,000",,,"117,000,000","9,828",,Y,"Health insurance, Paid time off / vacation time, Paid medical leave, Internet / mobile phone subsidies, Meal subsidies, Professional development, training, or learning fund",Start-up,Financial services,51 - 200,2-Oct,Yes,Fully on-site,
23/10/2024 11:46,Indonesia,Bandung,Male,18 - 24,Graphic Design Specialist,Head of Design,Full-time employee,Mid-level IC,Marketing / graphic design,2,5,Up to 3 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"4,350,000",,,,"52,200,000","4,385",,Y,"Health insurance, Dental insurance",Start-up,"Technology, media & telecommunications",201 - 1000,2-Oct,Yes,Fully on-site,
23/10/2024 11:46,Indonesia,Jakarta,Male,25 - 30,head of design,Creative marketing & designer,Full-time employee,Head of department / Senior leadership,Design leadership and management,8,8,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Annual,"168,000,000",,,,,"168,000,000","14,112",,Y,"Internet / mobile phone subsidies, Paid time off / vacation time, Onsite food / snacks, Wellness (gym, fitness, etc), Allowance for flexible working arrangement (remote/co-working space), Meal subsidies",Agency / Consulting,Investment management,Nov-50,2-Oct,Yes,Fully on-site,
23/10/2024 11:49,Indonesia,Jakarta,Female,25 - 30,Creative marketing & designer,Motion designer,Full-time employee,Manager,Marketing / graphic design,10,7,Atleast 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"6,000,000",,,"200,000","72,200,000","6,065",,Y,,Start-up,Consumer products,51 - 200,Team of 1,No,3 days on-site,Kataramen
