Submitted at,Country you live and work in,City,Gender,Your age,Your job title,UI/UX Designer,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Years of relevant experience_grouped,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Exclude,More than 1 row_jobtitle,Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
23/10/2024 2:25,Indonesia,Jakarta,Female,25 - 30,junior creative designer,Multidisciplinary Designer,Full-time employee,Mid-level IC,Marketing / graphic design,3,4,3 to 5 years,Diploma,No,,,,,,,No,IDR,Monthly,,"8,000,000",,,,"96,000,000","8,064",,Y,"Allowance for flexible working arrangement (remote/co-working space), Health insurance, Paid medical leave",Start-up,Real estate,51 - 200,2-Oct,Yes,1 day on-site,
23/10/2024 2:25,Indonesia,Jakarta,Male,41 - 45,Creative Director,Illustrator,Self-employed (Freelancers; own company),Director / VP*,Branding & Graphic Design,18,18,Atleast 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"27,000,000",,,,"324,000,000","27,216",,Y,,Agency / Consulting,"Banking, financial services, education, government, consumer products, healthcare",Nov-50,2-Oct,Yes,2 days on-site,
23/10/2024 2:28,Indonesia,Malang,Female,18 - 24,Illustrator,Product Researcher,Fixed term contractor,Junior IC (Entry level),Digital Product/ Graphic Element,1,2,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"2,600,000",,,0,"31,200,000","2,621",,,"Onsite food / snacks, Overtime",In-House Studio,"Technology, media & telecommunications",Nov-50,2-Oct,Not applicable,Fully on-site,Studio Moara
23/10/2024 2:30,Indonesia,Jakarta,Male,25 - 30,Senior Product Researcher,UI/UX Designer,Fixed term contractor,Senior IC,Product / UX research,4,5,3 to 5 years,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"10,000,000",,,,"120,000,000","10,080",,Y,"Meal subsidies, Onsite food / snacks",Agency / Consulting,Banking & capital markets,51 - 200,Nov-50,No,Fully on-site,Giza Lab
23/10/2024 2:31,Indonesia,Jakarta,Male,31 - 35,Senior ui/ux designer,Multidisciplinary Designer,Full-time employee,Senior IC,Product / UX design,8,12,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"21,000,000","21,000,000",,,"273,000,000","22,932",,Y,"Professional development, training, or learning fund, Dental insurance, Flexible schedule, Health insurance",Large enterprise (MNC),Financial services,"1001 - 10,000",2-Oct,Yes,4 days on-site,
23/10/2024 2:31,Indonesia,Jakarta,Male,25 - 30,Art Director,Digital Media Designer,Fixed term contractor,Senior IC,Design operations,5,5,5 to 10 years,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"25,000,000",,,,"300,000,000","25,200",,Y,Budget for equipment or home office setup,Start-up,Investment management,51 - 200,2-Oct,No,Fully remote,
23/10/2024 2:32,Singapore,Singapore,Female,18 - 24,Digital Designer,Lead Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,3,2,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,SGD,Monthly,,"5,000",,,,"60,000","60,000",,Y,"Paid medical leave, Professional development, training, or learning fund, Flexible spending account, Paid time off / vacation time, Health insurance",Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",2-Oct,No,1 day on-site,
23/10/2024 2:32,Indonesia,Jakarta,Female,25 - 30,Brand Designer,UI/UX Designer,Full-time employee,Mid-level IC,Service Design,2,7,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"7,700,000",,,,"92,400,000","7,762",,Y,Allowance for flexible working arrangement (remote/co-working space),Agency / Consulting,"Technology, media & telecommunications",Nov-50,2-Oct,Yes,3 days on-site,Selaksa
23/10/2024 2:35,Indonesia,Jakarta,Male,25 - 30,UX Designer,Senior Creative Designer,Full-time employee,Mid-level IC,Product / UX design,5,5,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"21,000,000",,,,"252,000,000","21,168",,Y,"Health insurance, Internet / mobile phone subsidies, Dental insurance, Paid time off / vacation time",Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",Nov-50,Yes,Fully on-site,
23/10/2024 2:36,Indonesia,Bandung,Male,31 - 35,Creative Designer,Graphic Designer,Full-time employee,Lead / Staff / Principal IC,Marketing / graphic design,5,8,5 to 10 years,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,Yes,IDR,Monthly,,"14,000,000","3,000,000",,,"171,000,000","14,364",,Y,"Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave",Agency / Consulting,Consumer products,Nov-50,Nov-50,No,Fully remote,Wunderfauks Group Pte. Ltd.
